Fecha de la medida;Hora de la medida;Medida de la magnitud activa entrante;Método de obtención
21/11/2022;15;689;R
21/11/2022;16;260;R
21/11/2022;17;147;R
21/11/2022;18;114;R
21/11/2022;19;159;R
21/11/2022;20;345;R
21/11/2022;21;140;R
21/11/2022;22;168;R
21/11/2022;23;108;R
21/11/2022;24;66;R
22/11/2022;1;53;R
22/11/2022;2;50;R
22/11/2022;3;49;R
22/11/2022;4;48;R
22/11/2022;5;53;R
22/11/2022;6;45;R
22/11/2022;7;47;R
22/11/2022;8;533;R
22/11/2022;9;989;R
22/11/2022;10;141;R
22/11/2022;11;111;R
22/11/2022;12;99;R
22/11/2022;13;101;R
22/11/2022;14;107;R
22/11/2022;15;354;R
22/11/2022;16;84;R
22/11/2022;17;110;R
22/11/2022;18;164;R
22/11/2022;19;183;R
22/11/2022;20;167;R
22/11/2022;21;312;R
22/11/2022;22;617;R
22/11/2022;23;122;R
22/11/2022;24;78;R
23/11/2022;1;52;R
23/11/2022;2;94;R
23/11/2022;3;65;R
23/11/2022;4;56;R
23/11/2022;5;50;R
23/11/2022;6;49;R
23/11/2022;7;50;R
23/11/2022;8;86;R
23/11/2022;9;237;R
23/11/2022;10;155;R
23/11/2022;11;111;R
23/11/2022;12;107;R
23/11/2022;13;109;R
23/11/2022;14;108;R
23/11/2022;15;615;R
23/11/2022;16;399;R
23/11/2022;17;282;R
23/11/2022;18;283;R
23/11/2022;19;295;R
23/11/2022;20;352;R
23/11/2022;21;310;R
23/11/2022;22;272;R
23/11/2022;23;120;R
23/11/2022;24;91;R
24/11/2022;1;62;R
24/11/2022;2;50;R
24/11/2022;3;47;R
24/11/2022;4;45;R
24/11/2022;5;47;R
24/11/2022;6;47;R
24/11/2022;7;46;R
24/11/2022;8;170;R
24/11/2022;9;194;R
24/11/2022;10;116;R
24/11/2022;11;86;R
24/11/2022;12;92;R
24/11/2022;13;47;R
24/11/2022;14;65;R
24/11/2022;15;184;R
24/11/2022;16;540;R
24/11/2022;17;254;R
24/11/2022;18;98;R
24/11/2022;19;48;R
24/11/2022;20;45;R
24/11/2022;21;43;R
24/11/2022;22;42;R
24/11/2022;23;42;R
24/11/2022;24;44;R
25/11/2022;1;44;R
25/11/2022;2;43;R
25/11/2022;3;44;R
25/11/2022;4;43;R
25/11/2022;5;42;R
25/11/2022;6;43;R
25/11/2022;7;42;R
25/11/2022;8;41;R
25/11/2022;9;41;R
25/11/2022;10;39;R
25/11/2022;11;42;R
25/11/2022;12;43;R
25/11/2022;13;42;R
25/11/2022;14;42;R
25/11/2022;15;42;R
25/11/2022;16;43;R
25/11/2022;17;45;R
25/11/2022;18;43;R
25/11/2022;19;43;R
25/11/2022;20;43;R
25/11/2022;21;40;R
25/11/2022;22;40;R
25/11/2022;23;41;R
25/11/2022;24;41;R
26/11/2022;1;46;R
26/11/2022;2;43;R
26/11/2022;3;41;R
26/11/2022;4;42;R
26/11/2022;5;41;R
26/11/2022;6;45;R
26/11/2022;7;97;R
26/11/2022;8;57;R
26/11/2022;9;44;R
26/11/2022;10;42;R
26/11/2022;11;43;R
26/11/2022;12;42;R
26/11/2022;13;40;R
26/11/2022;14;40;R
26/11/2022;15;41;R
26/11/2022;16;41;R
26/11/2022;17;41;R
26/11/2022;18;42;R
26/11/2022;19;42;R
26/11/2022;20;42;R
26/11/2022;21;43;R
26/11/2022;22;41;R
26/11/2022;23;41;R
26/11/2022;24;42;R
27/11/2022;1;44;R
27/11/2022;2;41;R
27/11/2022;3;41;R
27/11/2022;4;41;R
27/11/2022;5;39;R
27/11/2022;6;39;R
27/11/2022;7;40;R
27/11/2022;8;40;R
27/11/2022;9;41;R
27/11/2022;10;42;R
27/11/2022;11;41;R
27/11/2022;12;41;R
27/11/2022;13;40;R
27/11/2022;14;41;R
27/11/2022;15;41;R
27/11/2022;16;40;R
27/11/2022;17;41;R
27/11/2022;18;42;R
27/11/2022;19;41;R
27/11/2022;20;40;R
27/11/2022;21;41;R
27/11/2022;22;39;R
27/11/2022;23;41;R
27/11/2022;24;43;R
28/11/2022;1;43;R
28/11/2022;2;42;R
28/11/2022;3;42;R
28/11/2022;4;42;R
28/11/2022;5;41;R
28/11/2022;6;41;R
28/11/2022;7;41;R
28/11/2022;8;42;R
28/11/2022;9;41;R
28/11/2022;10;40;R
28/11/2022;11;39;R
28/11/2022;12;39;R
28/11/2022;13;40;R
28/11/2022;14;39;R
28/11/2022;15;40;R
28/11/2022;16;42;R
28/11/2022;17;42;R
28/11/2022;18;42;R
