#{"t_start": 1710201126.565544, "env_id": "microgrid-v0"}
r,l,t
38.721543,1024,212.137724
31.839205,1024,212.361422
40.73564,1024,212.585199
47.168203,1024,212.809622
25.040996,1024,213.031952
36.369924,1024,213.255229
36.74506,1024,213.493604
31.505406,1024,213.717592
35.924164,1024,213.941815
36.618075,1024,214.167285
25.43893,1024,214.398235
41.768816,1024,214.633438
47.250058,1024,214.869928
21.601163,1024,215.103463
55.507871,1024,215.33927
36.067959,1024,215.576123
32.907213,1024,215.811966
22.407813,1024,216.047106
40.36307,1024,216.282091
37.245797,1024,216.514447
39.568796,1024,216.739966
44.303385,1024,216.963442
35.245165,1024,217.187363
55.364113,1024,217.411522
24.092857,1024,217.635289
22.960762,1024,217.859026
48.179597,1024,218.095071
40.475827,1024,218.33095
18.054777,1024,218.566097
38.527655,1024,218.803011
27.741666,1024,219.037889
34.467911,1024,219.273144
44.251916,1024,219.508775
33.0266,1024,219.743921
40.568442,1024,219.978087
53.53685,1024,220.213429
39.385302,1024,220.446461
17.353547,1024,220.678042
38.785378,1024,220.9107
35.405869,1024,221.145116
20.079463,1024,221.376807
37.345986,1024,221.613578
26.576734,1024,221.84776
30.679104,1024,222.074234
43.888494,1024,222.298508
24.155401,1024,222.521389
17.787705,1024,222.744357
20.962972,1024,222.968307
39.729301,1024,223.189059
21.53183,1024,223.417754
38.616097,1024,223.64689
45.040798,1024,223.872324
43.511435,1024,224.103174
54.008455,1024,224.337452
41.577291,1024,224.560706
43.420805,1024,224.78615
36.441721,1024,225.012045
34.044685,1024,225.237048
37.946659,1024,225.464328
34.399176,1024,225.693119
36.851269,1024,225.918986
22.543218,1024,226.140102
24.682293,1024,226.368167
52.789003,1024,226.592625
33.642146,1024,226.815382
57.493089,1024,227.048134
17.665112,1024,227.274121
