Time;Consumo (kWh);ID
2022-02-27 04:00:00;0,167;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 05:00:00;0,153;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 06:00:00;0,184;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 07:00:00;0,358;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 08:00:00;0,454;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 09:00:00;0,273;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 10:00:00;0,239;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 11:00:00;0,402;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 12:00:00;1,319;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 13:00:00;1,225;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 14:00:00;1,014;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 15:00:00;0,49;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 16:00:00;0,576;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 17:00:00;0,296;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 18:00:00;0,454;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 19:00:00;0,355;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 20:00:00;0,413;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 21:00:00;0,563;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 22:00:00;0,472;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-27 23:00:00;0,42;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 00:00:00;0,382;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 01:00:00;0,188;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 02:00:00;0,235;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 03:00:00;0,146;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 04:00:00;0,178;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 05:00:00;0,155;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 06:00:00;0,312;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 07:00:00;0,283;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 08:00:00;0,173;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 09:00:00;0,201;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 10:00:00;0,213;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 11:00:00;0,198;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 12:00:00;0,267;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 13:00:00;0,245;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 14:00:00;0,943;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 15:00:00;0,551;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 16:00:00;0,298;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 17:00:00;0,43;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 18:00:00;0,369;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 19:00:00;0,39;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 20:00:00;0,42;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 21:00:00;1,108;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 22:00:00;0,984;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-28 23:00:00;0,314;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 00:00:00;0,314;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 01:00:00;0,257;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 02:00:00;0,158;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 03:00:00;0,188;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 04:00:00;0,138;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 05:00:00;0,226;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 06:00:00;0,41;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 07:00:00;0,363;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 08:00:00;0,231;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 09:00:00;0,186;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 10:00:00;0,281;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 11:00:00;0,241;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 12:00:00;0,26;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 13:00:00;0,32;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 14:00:00;0,69;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 15:00:00;0,538;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 16:00:00;0,601;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 17:00:00;0,608;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 18:00:00;0,493;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 19:00:00;0,429;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 20:00:00;0,847;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 21:00:00;0,569;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 22:00:00;0,565;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-01 23:00:00;0,428;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 00:00:00;0,265;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 01:00:00;0,15;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 02:00:00;0,225;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 03:00:00;0,174;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 04:00:00;0,141;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 05:00:00;0,217;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 06:00:00;0,329;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 07:00:00;0,311;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 08:00:00;0,184;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 09:00:00;0,15;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 10:00:00;0,217;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 11:00:00;0,227;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 12:00:00;0,322;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 13:00:00;0,323;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 14:00:00;0,865;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 15:00:00;0,322;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 16:00:00;0,345;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 17:00:00;0,487;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 18:00:00;0,266;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 19:00:00;0,405;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 20:00:00;1,112;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 21:00:00;0,766;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 22:00:00;0,351;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-02 23:00:00;0,338;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 00:00:00;0,293;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 01:00:00;0,201;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 02:00:00;0,273;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 03:00:00;0,16;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 04:00:00;0,147;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 05:00:00;0,179;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 06:00:00;0,139;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 07:00:00;0,447;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 08:00:00;0,246;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 09:00:00;0,431;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 10:00:00;0,25;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 11:00:00;0,371;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 12:00:00;0,331;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 13:00:00;0,336;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 14:00:00;1,399;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 15:00:00;1,185;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 16:00:00;0,381;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 17:00:00;0,458;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 18:00:00;0,372;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 19:00:00;0,346;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 20:00:00;0,338;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 21:00:00;1,171;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 22:00:00;0,76;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-03 23:00:00;0,562;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-04 00:00:00;0,32;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-04 01:00:00;0,244;Casa1_18_02_2022-18_02_2023-R.csv
2022-03-04 02:00:00;0,167;Casa1_18_02_2022-18_02_2023-R.csv
