time;P;G(i);H_sun;T2m;WS10m;Int
20180116:1110;757.64;928.61;26.26;8.35;1.79;0.0
20180116:1210;752.39;928.18;28.55;9.88;1.93;0.0
20180116:1310;730.06;900.28;27.71;11.41;2.21;0.0
20180116:1410;599.29;728.3;23.86;12.15;2.28;0.0
20180116:1510;501.21;606.82;17.51;12.7;2.28;0.0
20180116:1610;279.12;348.22;9.25;12.38;2.0;0.0
20180116:1710;0.0;0.0;0.0;10.54;2.0;0.0
20180116:1810;0.0;0.0;0.0;8.68;2.07;0.0
20180116:1910;0.0;0.0;0.0;7.98;2.0;0.0
20180116:2010;0.0;0.0;0.0;7.03;2.0;0.0
20180116:2110;0.0;0.0;0.0;6.25;1.86;0.0
20180116:2210;0.0;0.0;0.0;5.6;1.66;0.0
20180116:2310;0.0;0.0;0.0;4.94;1.66;0.0
20180117:0010;0.0;0.0;0.0;4.3;1.59;0.0
20180117:0110;0.0;0.0;0.0;3.7;1.59;0.0
20180117:0210;0.0;0.0;0.0;3.63;1.38;0.0
20180117:0310;0.0;0.0;0.0;3.93;1.1;0.0
20180117:0410;0.0;0.0;0.0;4.84;0.9;0.0
20180117:0510;0.0;0.0;0.0;5.5;0.62;0.0
20180117:0610;0.0;0.0;0.0;5.68;0.28;0.0
20180117:0710;0.0;0.0;0.0;5.05;0.21;0.0
20180117:0810;183.05;229.24;4.99;5.28;0.21;0.0
20180117:0910;443.7;530.55;13.96;5.89;0.14;0.0
20180117:1010;615.87;754.07;21.3;7.8;0.48;0.0
20180117:1110;731.42;908.93;26.43;9.8;1.31;0.0
20180117:1210;757.95;944.01;28.74;10.92;1.79;0.0
20180117:1310;755.28;937.89;27.91;11.77;2.14;0.0
20180117:1410;660.73;811.19;24.07;12.22;2.07;0.0
20180117:1510;515.56;626.43;17.71;12.32;1.86;0.0
20180117:1610;288.27;359.13;9.45;11.98;1.66;0.0
20180117:1710;0.0;0.0;0.0;10.73;1.66;0.0
20180117:1810;0.0;0.0;0.0;8.69;2.0;0.0
20180117:1910;0.0;0.0;0.0;7.51;1.86;0.0
20180117:2010;0.0;0.0;0.0;5.97;1.86;0.0
20180117:2110;0.0;0.0;0.0;4.72;1.86;0.0
