Fecha;Hora;Consumo (kWh);Metodo_obtencion
25/11/2022;10;0,039;R
25/11/2022;11;0,042;R
25/11/2022;12;0,043;R
25/11/2022;13;0,042;R
25/11/2022;14;0,042;R
25/11/2022;15;0,042;R
25/11/2022;16;0,043;R
25/11/2022;17;0,045;R
25/11/2022;18;0,043;R
25/11/2022;19;0,043;R
25/11/2022;20;0,043;R
25/11/2022;21;0,04;R
25/11/2022;22;0,04;R
25/11/2022;23;0,041;R
25/11/2022;24;0,041;R
26/11/2022;1;0,046;R
26/11/2022;2;0,043;R
26/11/2022;3;0,041;R
26/11/2022;4;0,042;R
26/11/2022;5;0,041;R
26/11/2022;6;0,045;R
26/11/2022;7;0,097;R
26/11/2022;8;0,057;R
26/11/2022;9;0,044;R
26/11/2022;10;0,042;R
26/11/2022;11;0,043;R
26/11/2022;12;0,042;R
26/11/2022;13;0,04;R
26/11/2022;14;0,04;R
26/11/2022;15;0,041;R
26/11/2022;16;0,041;R
26/11/2022;17;0,041;R
26/11/2022;18;0,042;R
26/11/2022;19;0,042;R
26/11/2022;20;0,042;R
26/11/2022;21;0,043;R
26/11/2022;22;0,041;R
26/11/2022;23;0,041;R
26/11/2022;24;0,042;R
27/11/2022;1;0,044;R
27/11/2022;2;0,041;R
27/11/2022;3;0,041;R
27/11/2022;4;0,041;R
27/11/2022;5;0,039;R
27/11/2022;6;0,039;R
27/11/2022;7;0,04;R
27/11/2022;8;0,04;R
27/11/2022;9;0,041;R
27/11/2022;10;0,042;R
27/11/2022;11;0,041;R
27/11/2022;12;0,041;R
27/11/2022;13;0,04;R
27/11/2022;14;0,041;R
27/11/2022;15;0,041;R
27/11/2022;16;0,04;R
27/11/2022;17;0,041;R
27/11/2022;18;0,042;R
27/11/2022;19;0,041;R
27/11/2022;20;0,04;R
27/11/2022;21;0,041;R
27/11/2022;22;0,039;R
27/11/2022;23;0,041;R
27/11/2022;24;0,043;R
28/11/2022;1;0,043;R
28/11/2022;2;0,042;R
28/11/2022;3;0,042;R
28/11/2022;4;0,042;R
28/11/2022;5;0,041;R
28/11/2022;6;0,041;R
28/11/2022;7;0,041;R
28/11/2022;8;0,042;R
28/11/2022;9;0,041;R
28/11/2022;10;0,04;R
28/11/2022;11;0,039;R
28/11/2022;12;0,039;R
28/11/2022;13;0,04;R
28/11/2022;14;0,039;R
28/11/2022;15;0,04;R
28/11/2022;16;0,042;R
28/11/2022;17;0,042;R
28/11/2022;18;0,042;R
28/11/2022;19;0,042;R
28/11/2022;20;0,042;R
28/11/2022;21;0,041;R
28/11/2022;22;0,042;R
28/11/2022;23;0,087;R
28/11/2022;24;0,08;R
29/11/2022;1;0,044;R
29/11/2022;2;0,043;R
29/11/2022;3;0,04;R
29/11/2022;4;0,04;R
29/11/2022;5;0,04;R
29/11/2022;6;0,042;R
29/11/2022;7;0,043;R
29/11/2022;8;0,064;R
29/11/2022;9;0,291;R
29/11/2022;10;0,172;R
29/11/2022;11;0,073;R
29/11/2022;12;0,045;R
29/11/2022;13;0,043;R
29/11/2022;14;0,042;R
29/11/2022;15;0,044;R
29/11/2022;16;0,058;R
29/11/2022;17;0,112;R
29/11/2022;18;0,134;R
29/11/2022;19;0,196;R
29/11/2022;20;0,196;R
29/11/2022;21;0,156;R
29/11/2022;22;0,378;R
29/11/2022;23;0,123;R
29/11/2022;24;0,062;R
30/11/2022;1;0,055;R
30/11/2022;2;0,051;R
30/11/2022;3;0,048;R
30/11/2022;4;0,046;R
30/11/2022;5;0,047;R
30/11/2022;6;0,056;R
30/11/2022;7;0,056;R
30/11/2022;8;0,109;R
30/11/2022;9;0,173;R
30/11/2022;10;0,137;R
30/11/2022;11;0,101;R
30/11/2022;12;0,103;R
30/11/2022;13;0,108;R
30/11/2022;14;0,096;R
30/11/2022;15;0,118;R
30/11/2022;16;0,068;R
30/11/2022;17;0,844;R
30/11/2022;18;0,32;R
30/11/2022;19;0,282;R
30/11/2022;20;0,295;R
30/11/2022;21;0,98;R
30/11/2022;22;0,588;R
30/11/2022;23;0,201;R
30/11/2022;24;0,066;R
01/12/2022;1;0,046;R
01/12/2022;2;0,047;R
01/12/2022;3;0,049;R
01/12/2022;4;0,047;R
01/12/2022;5;0,049;R
01/12/2022;6;0,046;R
01/12/2022;7;0,045;R
01/12/2022;8;0,047;R
01/12/2022;9;0,106;R
01/12/2022;10;0,376;R
01/12/2022;11;0,12;R
01/12/2022;12;0,143;R
01/12/2022;13;0,118;R
01/12/2022;14;0,283;R
01/12/2022;15;0,326;R
01/12/2022;16;0,207;R
01/12/2022;17;0,041;R
01/12/2022;18;0,044;R
01/12/2022;19;0,043;R
01/12/2022;20;0,045;R
01/12/2022;21;0,044;R
01/12/2022;22;0,047;R
01/12/2022;23;0,094;R
01/12/2022;24;0,059;R
02/12/2022;1;0,05;R
02/12/2022;2;0,045;R
02/12/2022;3;0,044;R
02/12/2022;4;0,044;R
02/12/2022;5;0,042;R
02/12/2022;6;0,043;R
02/12/2022;7;0,04;R
02/12/2022;8;0,042;R
02/12/2022;9;0,043;R
02/12/2022;10;0,042;R
