CUPS;Fecha;Hora;Consumo (kWh);Metodo_obtencion
ES0021000004465414FF;09/03/2022;21;1,259;R
ES0021000004465414FF;09/03/2022;22;0,853;R
ES0021000004465414FF;09/03/2022;23;0,773;R
ES0021000004465414FF;09/03/2022;24;0,484;R
ES0021000004465414FF;10/03/2022;1;0,323;R
ES0021000004465414FF;10/03/2022;2;0,145;R
ES0021000004465414FF;10/03/2022;3;0,174;R
ES0021000004465414FF;10/03/2022;4;0,19;R
ES0021000004465414FF;10/03/2022;5;0,118;R
ES0021000004465414FF;10/03/2022;6;0,215;R
ES0021000004465414FF;10/03/2022;7;0,419;R
ES0021000004465414FF;10/03/2022;8;0,236;R
ES0021000004465414FF;10/03/2022;9;0,234;R
ES0021000004465414FF;10/03/2022;10;0,225;R
ES0021000004465414FF;10/03/2022;11;0,168;R
ES0021000004465414FF;10/03/2022;12;0,179;R
ES0021000004465414FF;10/03/2022;13;0,21;R
ES0021000004465414FF;10/03/2022;14;0,235;R
ES0021000004465414FF;10/03/2022;15;0,35;R
ES0021000004465414FF;10/03/2022;16;0,352;R
ES0021000004465414FF;10/03/2022;17;0,583;R
ES0021000004465414FF;10/03/2022;18;0,419;R
ES0021000004465414FF;10/03/2022;19;0,585;R
ES0021000004465414FF;10/03/2022;20;0,442;R
ES0021000004465414FF;10/03/2022;21;1,455;R
ES0021000004465414FF;10/03/2022;22;0,682;R
ES0021000004465414FF;10/03/2022;23;0,443;R
ES0021000004465414FF;10/03/2022;24;0,261;R
ES0021000004465414FF;11/03/2022;1;0,261;R
ES0021000004465414FF;11/03/2022;2;0,149;R
ES0021000004465414FF;11/03/2022;3;0,121;R
ES0021000004465414FF;11/03/2022;4;0,18;R
ES0021000004465414FF;11/03/2022;5;0,122;R
ES0021000004465414FF;11/03/2022;6;0,126;R
ES0021000004465414FF;11/03/2022;7;0,265;R
ES0021000004465414FF;11/03/2022;8;0,358;R
ES0021000004465414FF;11/03/2022;9;0,127;R
ES0021000004465414FF;11/03/2022;10;0,165;R
ES0021000004465414FF;11/03/2022;11;0,26;R
ES0021000004465414FF;11/03/2022;12;0,37;R
ES0021000004465414FF;11/03/2022;13;1,226;R
ES0021000004465414FF;11/03/2022;14;0,742;R
ES0021000004465414FF;11/03/2022;15;0,498;R
ES0021000004465414FF;11/03/2022;16;0,599;R
ES0021000004465414FF;11/03/2022;17;0,526;R
ES0021000004465414FF;11/03/2022;18;0,496;R
ES0021000004465414FF;11/03/2022;19;0,548;R
ES0021000004465414FF;11/03/2022;20;0,535;R
ES0021000004465414FF;11/03/2022;21;0,545;R
ES0021000004465414FF;11/03/2022;22;0,566;R
ES0021000004465414FF;11/03/2022;23;0,572;R
ES0021000004465414FF;11/03/2022;24;0,495;R
ES0021000004465414FF;12/03/2022;1;0,415;R
ES0021000004465414FF;12/03/2022;2;0,3;R
ES0021000004465414FF;12/03/2022;3;0,159;R
ES0021000004465414FF;12/03/2022;4;0,171;R
